efK qt recall
1 2.333 0.1476
6 2.338 0.4347
11 2.566 0.5386
16 2.81 0.6149
21 3.14 0.6854
26 3.561 0.7388
31 4.068 0.7845
36 4.615 0.8159
41 5.195 0.8359
46 5.656 0.8526
51 6.084 0.8664
56 6.53 0.8758
61 7.21 0.888
66 7.886 0.9001
71 8.885 0.9122
76 9.739 0.9229
81 10.56 0.9283
86 11.263 0.9346
91 11.993 0.9417
96 12.632 0.9458
100 13.194 0.9467
120 15.902 0.9637
140 18.24 0.9695
160 20.571 0.9774
180 22.865 0.9796
200 24.675 0.9816
220 26.343 0.9828
240 28.158 0.9833
260 29.911 0.9842
280 31.668 0.9844
300 33.492 0.985
350 38.207 0.9863
400 42.671 0.9865
450 47.229 0.9871
500 51.95 0.9879
550 56.327 0.9882
600 60.631 0.9885
650 64.903 0.9885
700 69.196 0.9885
750 73.57 0.9885
800 77.884 0.9885
900 86.623 0.9885
1000 96.146 0.9885
1100 105.704 0.9885
1200 115.546 0.9888
