efK qt recall
1 2.364 0.1476
6 2.349 0.4342
11 2.551 0.5314
16 2.73 0.5985
21 2.906 0.6597
26 3.087 0.7031
31 3.268 0.7413
36 3.471 0.7676
41 3.644 0.7835
46 3.786 0.795
51 3.936 0.8036
56 4.079 0.81
61 4.243 0.8185
66 4.414 0.8274
71 4.576 0.8343
76 4.724 0.8399
81 4.871 0.8429
86 4.988 0.8472
91 5.126 0.8523
96 5.236 0.8547
100 5.34 0.8553
120 5.906 0.866
140 6.387 0.8695
160 6.856 0.8748
180 7.29 0.8759
200 7.744 0.878
220 8.141 0.8789
240 8.543 0.8792
260 8.952 0.8801
280 9.332 0.8804
300 9.726 0.8805
350 10.746 0.8822
400 11.771 0.8825
450 12.776 0.8827
500 13.878 0.8835
550 14.916 0.8837
600 15.975 0.8841
650 17.033 0.8841
700 18.099 0.8842
750 19.165 0.8842
800 20.251 0.8843
900 22.454 0.8843
1000 24.669 0.8843
1100 26.926 0.8843
1200 29.212 0.8844
