efK qt recall
1 3.199 0.1476
6 3.295 0.4337
11 3.502 0.5303
16 3.727 0.5972
21 3.866 0.6562
26 4.339 0.7001
31 3.814 0.7376
36 3.807 0.7642
41 3.554 0.78
46 4.134 0.7909
51 6.009 0.7992
56 5.807 0.8059
61 4.838 0.8136
66 5.631 0.822
71 6.176 0.8292
76 5.725 0.8348
81 5.757 0.8376
86 6.237 0.8417
91 5.925 0.8471
96 6.099 0.8492
100 6.113 0.85
120 6.733 0.8603
140 7.538 0.8638
160 6.891 0.8688
180 8.71 0.8701
200 8.678 0.8719
220 8.807 0.8725
240 9.166 0.873
260 9.521 0.8737
280 9.849 0.8738
300 10.373 0.8738
350 11.249 0.8748
400 12.685 0.8749
450 13.847 0.875
500 14.177 0.876
550 15.094 0.8762
600 16.096 0.8765
650 17.083 0.8765
700 18.112 0.8766
750 19.151 0.8766
800 20.406 0.8768
900 22.668 0.8768
1000 24.332 0.8769
1100 27.201 0.8769
1200 29.527 0.8769
