efK qt recall
1 2.181 0.1476
6 2.339 0.4346
11 2.54 0.5342
16 2.721 0.6044
21 2.902 0.6692
26 3.087 0.7146
31 3.279 0.7543
36 3.499 0.7823
41 3.681 0.7985
46 3.831 0.8109
51 3.99 0.821
56 4.147 0.828
61 4.33 0.8366
66 4.513 0.846
71 4.711 0.8539
76 4.876 0.8606
81 5.045 0.8654
86 5.19 0.8695
91 5.326 0.8744
96 5.458 0.8773
100 5.565 0.8777
120 6.208 0.8887
140 6.74 0.8922
160 7.279 0.8974
180 7.785 0.8985
200 8.297 0.9007
220 8.753 0.9019
240 9.227 0.9025
260 9.692 0.9032
280 10.125 0.9032
300 10.584 0.9032
350 11.752 0.9039
400 12.919 0.9041
450 14.088 0.9046
500 15.357 0.9056
550 16.575 0.9059
600 17.785 0.9063
650 19.008 0.9063
700 20.218 0.9063
750 21.459 0.9063
800 22.702 0.9063
900 25.227 0.9063
1000 27.782 0.9063
1100 30.413 0.9063
1200 33.111 0.9065
