efK qt recall
1 0.19 0.215
6 0.33 0.6948
11 0.45 0.8096
16 0.602 0.8292
21 0.856 0.8514
26 1.37 0.8756
31 1.904 0.8866
36 2.376 0.894
41 3.01 0.8998
46 3.834 0.9014
51 4.41 0.9048
56 4.78 0.9084
61 5.95 0.9136
66 6.55 0.9142
71 6.206 0.9158
76 6.652 0.918
81 6.704 0.9194
86 9.228 0.923
91 9.78 0.9252
96 8.29 0.928
100 8.078 0.9296
120 8.83 0.9338
140 12.822 0.9362
160 14.502 0.943
180 16.344 0.9506
200 15.954 0.9664
220 20.464 0.9824
240 20.594 0.9922
260 26.236 0.9966
280 30.422 0.9976
300 28.294 0.9982
350 34.552 0.9996
400 38.652 0.9996
450 42.91 0.9996
500 50.936 0.9998
550 60.836 0.9998
600 61.906 1
650 63.284 1
700 69.444 1
750 67.628 1
800 70.56 1
900 78.928 1
1000 87.644 1
1100 95.214 1
1200 104.228 1
1300 112.278 1
1400 121.176 1
1500 130.102 1
1600 138.942 1
1700 147.446 1
1800 156.432 1
1900 166.068 1
