efK qt recall
1 0.116 0.215
6 0.18 0.6948
11 0.254 0.8096
16 0.338 0.8292
21 0.506 0.8514
26 0.824 0.8756
31 1.042 0.8866
36 1.356 0.894
41 1.872 0.8998
46 2.686 0.9014
51 2.478 0.9048
56 2.988 0.9084
61 3.352 0.9136
66 3.768 0.9142
71 4.186 0.9158
76 4.786 0.918
81 5.036 0.9194
86 5.384 0.923
91 5.744 0.9252
96 5.956 0.928
100 6.38 0.9296
120 8.452 0.9338
140 9.44 0.9362
160 14.482 0.943
180 13.718 0.9506
200 15.512 0.9664
220 20.646 0.9824
240 21.784 0.9922
260 22.238 0.9966
280 23.188 0.9976
300 25.55 0.9982
350 41.884 0.9994
400 33.886 0.9994
450 39.118 0.9994
500 41.432 0.9996
550 44.524 0.9996
600 48.294 0.9998
650 71.964 0.9998
700 66.336 0.9998
750 80.62 0.9998
800 67.438 0.9998
900 80.8 0.9998
1000 77.182 0.9998
1100 79.592 0.9998
1200 101.724 0.9998
1300 113.79 0.9998
1400 108.12 0.9998
1500 108.218 0.9998
1600 115.276 0.9998
1700 122.49 0.9998
1800 130.138 0.9998
1900 137.586 0.9998
