efK qt recall
1 0.063 0.2299
6 0.087 0.7096
11 0.139 0.8652
16 0.195 0.8872
21 0.202 0.9039
26 0.267 0.9152
31 0.286 0.9265
36 0.347 0.9432
41 0.399 0.9658
46 0.437 0.9757
51 0.471 0.9781
56 0.52 0.9803
61 0.59 0.9849
66 0.694 0.9893
71 0.91 0.9918
76 0.867 0.9933
81 0.948 0.9939
86 1.021 0.9946
91 1.084 0.9952
96 1.143 0.9964
100 1.188 0.9964
120 1.382 0.9969
140 1.561 0.9976
160 1.735 0.9976
180 1.908 0.9977
200 2.084 0.9977
220 2.26 0.9977
240 2.437 0.9977
260 2.617 0.9978
280 2.797 0.9978
300 2.978 0.9978
350 3.434 0.9978
400 3.886 0.9978
450 4.333 0.9978
500 4.774 0.9978
550 5.212 0.9978
600 5.66 0.9978
650 6.103 0.9978
700 6.519 0.9978
750 6.956 0.9978
800 7.394 0.9978
900 8.267 0.9978
1000 9.138 0.9978
1100 10.009 0.9978
1200 10.885 0.9978
