efK qt recall
1 0.11 0.2118
6 0.163 0.6779
11 0.357 0.7946
16 0.41 0.8126
21 0.473 0.838
26 0.618 0.862
31 0.839 0.8729
36 1.115 0.8802
41 1.427 0.8862
46 1.822 0.8925
51 2.139 0.8962
56 2.604 0.9007
61 2.924 0.9045
66 3.369 0.9058
71 3.757 0.9102
76 4.157 0.9118
81 4.524 0.9138
86 4.829 0.9166
91 5.183 0.9195
96 5.483 0.9225
100 5.752 0.9234
120 6.864 0.9277
140 8.026 0.9318
160 9.25 0.9385
180 10.38 0.9434
200 11.567 0.9595
220 12.962 0.9765
240 14.102 0.9842
260 15.287 0.9905
280 16.557 0.9916
300 17.38 0.9918
350 19.938 0.9923
400 22.362 0.9926
450 24.791 0.9928
500 27.242 0.993
550 29.622 0.9931
600 32.043 0.9931
650 34.521 0.9931
700 36.92 0.9931
750 39.359 0.9931
800 43.066 0.9931
900 46.307 0.9931
1000 50.834 0.9931
1100 55.634 0.9931
1200 60.402 0.9931
