efK qt recall
1 0.108 0.2118
6 0.16 0.6779
11 0.221 0.7946
16 0.298 0.8126
21 0.418 0.838
26 0.613 0.862
31 0.846 0.8728
36 1.121 0.8801
41 1.433 0.8861
46 1.833 0.8924
51 2.153 0.8961
56 2.618 0.9009
61 2.931 0.9047
66 3.378 0.906
71 3.791 0.9104
76 4.177 0.912
81 4.549 0.914
86 4.856 0.9168
91 5.206 0.9197
96 5.498 0.9228
100 5.811 0.9237
120 6.863 0.9283
140 7.991 0.9325
160 9.312 0.9403
180 10.473 0.9457
200 11.761 0.9623
220 13.264 0.9794
240 14.57 0.987
260 15.895 0.9941
280 17.069 0.9956
300 18.179 0.9958
350 20.903 0.9963
400 23.471 0.9963
450 26.012 0.9965
500 28.557 0.9967
550 31.032 0.9968
600 33.548 0.9969
650 36.07 0.9969
700 38.596 0.9969
750 41.143 0.9969
800 43.67 0.9969
900 48.754 0.9969
1000 53.794 0.9969
1100 58.953 0.9969
1200 64.023 0.9969
