efK qt recall
1 2.124 0.1448
6 2.324 0.441
11 2.644 0.5362
16 2.918 0.615
21 4.42 0.6868
26 3.854 0.7344
31 4.578 0.7784
36 4.47 0.8086
41 4.838 0.8282
46 5.168 0.8438
51 5.536 0.8558
56 6.926 0.8604
61 7.346 0.8716
66 7.808 0.8838
71 8.522 0.8962
76 9.104 0.9066
81 9.44 0.9122
86 9.828 0.9178
91 10.234 0.9272
96 10.666 0.9312
100 10.96 0.932
120 12.702 0.948
140 14.104 0.9524
160 15.504 0.962
180 17.048 0.9636
200 18.022 0.966
220 19.132 0.967
240 20.356 0.968
260 21.316 0.9696
280 22.658 0.9698
300 23.454 0.9698
350 26.358 0.9704
400 28.856 0.9708
450 31.832 0.9714
500 34.576 0.9718
550 37.64 0.9724
600 40.036 0.9724
650 42.58 0.9724
700 45.41 0.9724
750 48.38 0.9724
800 50.576 0.9724
900 55.824 0.9724
1000 61.626 0.9724
1100 67.754 0.9724
1200 73.754 0.9724
1300 79.504 0.9724
1400 85.464 0.9724
1500 91.426 0.9724
1600 97.41 0.9724
1700 105.164 0.9724
1800 172.942 0.9724
1900 133.614 0.9724
