efK qt recall
1 0.056 0.2299
6 0.088 0.7096
11 0.163 0.8652
16 0.231 0.8872
21 0.248 0.9039
26 0.312 0.9152
31 0.337 0.9265
36 0.352 0.9432
41 0.398 0.9658
46 0.437 0.9758
51 0.474 0.9779
56 0.542 0.9807
61 0.633 0.9861
66 0.828 0.9913
71 1.024 0.9935
76 1.261 0.9952
81 1.525 0.9962
86 1.768 0.9973
91 1.914 0.9978
96 2.02 0.999
100 2.102 0.999
120 2.443 0.9992
140 2.751 0.9997
160 3.038 0.9997
180 3.335 0.9998
200 3.632 0.9998
220 3.933 0.9998
240 4.24 0.9998
260 4.545 0.9998
280 4.848 0.9998
300 5.16 0.9998
350 5.944 0.9998
400 6.799 0.9998
450 7.576 0.9998
500 8.416 0.9998
550 9.27 0.9998
600 10.115 0.9998
650 10.953 0.9998
700 11.771 0.9998
750 12.592 0.9998
800 13.406 0.9998
900 15.026 0.9998
1000 16.643 0.9998
1100 18.265 0.9998
1200 19.893 0.9998
