efK qt recall
1 2.182 0.1474
6 2.488 0.4332
11 2.515 0.5258
16 2.661 0.5866
21 2.791 0.6394
26 2.91 0.679
31 3.024 0.712
36 3.158 0.736
41 3.415 0.7492
46 3.511 0.7582
51 3.764 0.7645
56 4.285 0.7697
61 3.896 0.7769
66 3.738 0.7841
71 3.834 0.7902
76 3.952 0.795
81 4.045 0.7968
86 4.154 0.7996
91 4.41 0.8041
96 4.317 0.8061
100 4.383 0.8069
120 4.774 0.8166
140 5.1 0.8197
160 5.454 0.8234
180 5.766 0.8247
200 6.09 0.8271
220 6.39 0.8281
240 6.694 0.8285
260 7.844 0.8292
280 7.579 0.8293
300 7.581 0.8296
350 8.39 0.8301
400 9.156 0.8304
450 9.898 0.8304
500 10.723 0.8306
550 11.533 0.8307
600 12.349 0.831
650 13.194 0.8311
700 14.004 0.8311
750 14.859 0.8311
800 15.699 0.8313
900 17.416 0.8313
1000 19.143 0.8313
1100 20.897 0.8313
1200 22.649 0.8313
