efK qt recall
1 2.2 0.156
6 2.28 0.451
11 2.68 0.532
16 3.96 0.603
21 4.37 0.675
26 4.88 0.725
31 5.05 0.772
36 5.67 0.813
41 6.14 0.848
46 6.81 0.869
51 7.38 0.88
56 7.77 0.882
61 8.56 0.89
66 9.1 0.892
71 10.9 0.91
76 12.69 0.923
81 13.54 0.927
86 14.2 0.934
91 14.78 0.938
96 15.69 0.938
100 16.08 0.938
120 19.37 0.959
140 22.04 0.968
160 25.08 0.98
180 26.48 0.982
200 28.31 0.983
220 30.05 0.983
240 32.14 0.983
260 33.96 0.986
280 35.86 0.986
300 37.58 0.986
350 41.91 0.986
400 45.92 0.987
450 50.41 0.988
500 55.18 0.988
550 63.02 0.988
600 64.39 0.988
650 68.54 0.988
700 72.55 0.988
750 76.94 0.988
800 83.81 0.988
900 90.25 0.988
1000 100.37 0.988
1100 110.78 0.988
1200 123.42 0.989
1300 131.27 0.989
1400 144.7 0.989
1500 152.24 0.989
1600 161.17 0.989
1700 170.38 0.989
1800 180.93 0.989
1900 192.15 0.900 87.59 0.988571
1000 125.78 0.988571
1100 142.92 0.988571
1200 118.107 0.989
1300 126.541 0.989
1400 136.011 0.989
1500 145.677 0.989
1600 155.469 0.989
1700 165.977 0.989
1800 176.146 0.989
1900 185.887 0.989
