efK qt recall
1 0.038 0.2299
6 0.061 0.7096
11 0.097 0.8652
16 0.137 0.8871
21 0.173 0.9039
26 0.23 0.914
31 0.289 0.9211
36 0.352 0.9379
41 0.408 0.9603
46 0.447 0.9689
51 0.483 0.9716
56 0.516 0.9724
61 0.549 0.9745
66 0.582 0.9767
71 0.617 0.9779
76 0.652 0.9789
81 0.69 0.9794
86 0.725 0.9801
91 0.758 0.9802
96 0.789 0.981
100 0.813 0.9812
120 0.937 0.9816
140 1.054 0.9822
160 1.163 0.9824
180 1.272 0.9827
200 1.379 0.9827
220 1.484 0.9828
240 1.588 0.9828
260 1.691 0.9828
280 1.794 0.9828
300 1.897 0.9828
350 2.154 0.9828
400 2.411 0.9828
450 2.667 0.9828
500 2.923 0.9828
550 3.179 0.9828
600 3.436 0.9828
650 3.692 0.9828
700 3.948 0.9828
750 4.205 0.9828
800 4.462 0.9828
900 4.976 0.9828
1000 5.489 0.9828
1100 5.991 0.9828
1200 6.507 0.9828
