efK qt recall
1 2.216 0.1448
6 2.428 0.4406
11 2.68 0.5336
16 2.956 0.6086
21 3.196 0.6736
26 3.448 0.7134
31 3.708 0.751
36 3.88 0.7782
41 4.142 0.7952
46 4.232 0.8074
51 4.502 0.8166
56 4.552 0.8202
61 4.804 0.828
66 4.988 0.8388
71 5.72 0.8472
76 6.84 0.853
81 6.798 0.8576
86 8.42 0.8628
91 7.566 0.87
96 6.816 0.8734
100 7.558 0.8734
120 8.744 0.8858
140 10.736 0.8892
160 11.66 0.8954
180 10.948 0.8972
200 13.75 0.8996
220 14.482 0.9004
240 11.51 0.901
260 14.87 0.9024
280 13.09 0.9024
300 13.998 0.9026
350 16.312 0.903
400 16.204 0.9032
450 16.084 0.9036
500 19.47 0.904
550 26.218 0.9042
600 24.254 0.9042
650 23.316 0.9042
700 23.666 0.9042
750 27.352 0.9042
800 23.752 0.9042
900 25.962 0.9042
1000 28.51 0.9042
1100 31.128 0.9042
1200 33.724 0.9044
1300 40.236 0.9044
1400 46.26 0.9044
1500 49.746 0.9044
1600 47.55 0.9044
1700 50.77 0.9044
1800 53.834 0.9044
1900 53.53 0.9044
