efK qt recall
1 2.368 0.1475
6 2.356 0.4325
11 2.551 0.5279
16 2.721 0.5914
21 2.889 0.6472
26 3.048 0.6889
31 3.208 0.7234
36 3.386 0.7481
41 3.535 0.7632
46 3.668 0.7723
51 3.789 0.7791
56 3.906 0.7847
61 4.039 0.7917
66 4.169 0.7998
71 4.308 0.8066
76 4.44 0.8114
81 4.57 0.8141
86 4.663 0.8176
91 4.781 0.8226
96 4.883 0.8251
100 4.962 0.8262
120 5.459 0.8362
140 5.844 0.8388
160 6.248 0.8437
180 6.612 0.845
200 6.97 0.8469
220 7.32 0.8474
240 7.64 0.8481
260 7.968 0.8486
280 8.283 0.8488
300 8.614 0.849
350 9.453 0.8494
400 10.356 0.8496
450 11.07 0.8499
500 12.03 0.8508
550 12.907 0.8511
600 13.781 0.8513
650 14.666 0.8514
700 15.546 0.8514
750 16.441 0.8514
800 17.35 0.8516
900 19.161 0.8516
1000 21.011 0.8516
1100 22.873 0.8516
1200 24.754 0.8516
