efK qt recall
1 2.197 0.1476
6 2.333 0.4346
11 2.536 0.5348
16 2.714 0.6056
21 2.895 0.6712
26 3.087 0.7176
31 3.28 0.7579
36 3.498 0.786
41 3.675 0.8026
46 3.83 0.8154
51 3.992 0.8256
56 4.251 0.8329
61 4.337 0.8415
66 4.529 0.8509
71 4.747 0.8589
76 4.929 0.866
81 5.11 0.8703
86 5.248 0.8748
91 5.387 0.8799
96 5.524 0.8824
100 5.64 0.8826
120 6.319 0.894
140 6.861 0.8977
160 7.426 0.903
180 7.957 0.904
200 8.486 0.9061
220 8.966 0.907
240 9.459 0.9076
260 9.968 0.9084
280 10.412 0.9084
300 10.885 0.9084
350 12.106 0.9091
400 13.319 0.9094
450 14.579 0.9099
500 15.866 0.9107
550 17.133 0.9113
600 18.413 0.9117
650 19.682 0.9117
700 20.939 0.9117
750 22.244 0.9117
800 23.538 0.9117
900 26.143 0.9117
1000 28.701 0.9117
1100 32.156 0.9117
1200 36.351 0.9119
