efK qt recall
1 2.184 0.1476
6 2.486 0.4336
11 2.52 0.5293
16 2.676 0.5952
21 2.819 0.6528
26 2.959 0.6951
31 3.095 0.7315
36 3.248 0.7564
41 3.387 0.7717
46 3.503 0.7813
51 3.618 0.789
56 3.725 0.7951
61 3.85 0.8035
66 3.979 0.812
71 4.104 0.8187
76 4.219 0.8236
81 4.336 0.8265
86 4.435 0.8303
91 4.543 0.8353
96 4.638 0.8377
100 4.718 0.8387
120 5.186 0.849
140 5.572 0.8516
160 5.966 0.8563
180 6.336 0.8578
200 6.699 0.8595
220 7.022 0.86
240 7.387 0.8607
260 7.719 0.8616
280 8.046 0.8617
300 8.397 0.8622
350 9.264 0.8628
400 10.14 0.863
450 11.027 0.8633
500 11.975 0.8643
550 12.895 0.8646
600 13.824 0.8649
650 14.765 0.8649
700 15.69 0.865
750 16.643 0.865
800 17.587 0.8652
900 19.635 0.8653
1000 21.482 0.8653
1100 23.458 0.8653
1200 25.456 0.8653
