efK qt recall
1 2.358 0.1476
6 2.491 0.4347
11 2.575 0.5383
16 2.822 0.6144
21 3.129 0.6842
26 3.497 0.7365
31 3.906 0.7812
36 4.341 0.8119
41 4.757 0.8312
46 5.085 0.847
51 5.405 0.8599
56 5.715 0.8687
61 6.185 0.8801
66 6.646 0.8915
71 7.282 0.9035
76 7.804 0.9134
81 8.279 0.9182
86 8.653 0.9241
91 9.04 0.9308
96 9.403 0.9341
100 9.706 0.9349
120 11.262 0.9499
140 12.65 0.9549
160 13.995 0.9624
180 15.331 0.9641
200 16.487 0.9661
220 17.517 0.9673
240 18.66 0.9678
260 19.723 0.9686
280 20.766 0.9687
300 21.83 0.9689
350 24.509 0.9702
400 27.082 0.9705
450 29.708 0.9711
500 32.605 0.9719
550 35.254 0.9722
600 37.83 0.9725
650 40.439 0.9725
700 43.051 0.9725
750 45.652 0.9725
800 48.284 0.9725
900 53.614 0.9725
1000 59.233 0.9725
1100 65.037 0.9725
1200 71.643 0.9727
