efK qt recall
1 0.039 0.2299
6 0.061 0.7096
11 0.097 0.8652
16 0.139 0.8872
21 0.181 0.9039
26 0.242 0.9152
31 0.285 0.9265
36 0.346 0.9432
41 0.399 0.9658
46 0.436 0.9758
51 0.473 0.9779
56 0.538 0.9807
61 0.628 0.9861
66 0.805 0.9913
71 0.976 0.9935
76 1.163 0.9952
81 1.369 0.9961
86 1.559 0.9972
91 1.679 0.9977
96 1.769 0.9989
100 1.839 0.9989
120 2.141 0.9991
140 2.418 0.9995
160 2.674 0.9995
180 2.94 0.9996
200 3.206 0.9996
220 3.474 0.9996
240 3.743 0.9996
260 4.011 0.9996
280 4.28 0.9996
300 4.557 0.9996
350 5.256 0.9996
400 5.972 0.9996
450 6.716 0.9996
500 7.458 0.9996
550 8.198 0.9996
600 8.924 0.9996
650 9.647 0.9996
700 10.355 0.9996
750 11.066 0.9996
800 11.776 0.9996
900 13.195 0.9996
1000 14.609 0.9996
1100 16.025 0.9996
1200 17.452 0.9996
