efK qt recall
1 2.213 0.1458
6 2.381 0.4268
11 2.524 0.514
16 2.667 0.5688
21 2.784 0.6125
26 2.901 0.6477
31 3 0.6749
36 3.117 0.6953
41 3.215 0.707
46 3.305 0.7143
51 3.384 0.7189
56 3.468 0.7228
61 3.551 0.7284
66 3.629 0.7331
71 3.712 0.7382
76 3.79 0.7409
81 3.872 0.7428
86 3.955 0.7449
91 4.035 0.7483
96 4.11 0.7505
100 4.162 0.7511
120 4.482 0.7582
140 4.757 0.7604
160 5.035 0.7631
180 5.293 0.7641
200 5.556 0.7661
220 5.806 0.7668
240 6.048 0.7672
260 6.292 0.7675
280 6.55 0.7678
300 6.795 0.7682
350 7.436 0.7689
400 8.092 0.769
450 8.732 0.7692
500 9.395 0.7694
550 10.074 0.7701
600 10.758 0.7703
650 11.446 0.7703
700 12.147 0.7704
750 12.848 0.7704
800 13.557 0.7707
900 14.984 0.7707
1000 16.444 0.7709
1100 17.968 0.7709
1200 19.377 0.7709
1300 20.846 0.7709
1400 22.314 0.7709
1500 23.834 0.7709
1600 25.283 0.7709
1700 26.75 0.7709
1800 28.236 0.7709
1900 29.702 0.7709
