efK qt recall
1 2.388 0.1465
6 2.36 0.4296
11 2.542 0.5203
16 2.683 0.5789
21 2.814 0.6277
26 2.939 0.6652
31 3.057 0.6965
36 3.186 0.7185
41 3.29 0.7316
46 3.387 0.7401
51 3.485 0.7461
56 3.584 0.7514
61 3.674 0.7579
66 3.763 0.7633
71 3.866 0.7692
76 3.965 0.7731
81 4.05 0.7747
86 4.134 0.7778
91 4.232 0.7823
96 4.315 0.7842
100 4.371 0.7846
120 4.738 0.793
140 5.06 0.7963
160 5.391 0.8
180 5.683 0.8009
200 5.984 0.8027
220 6.254 0.8037
240 6.536 0.8039
260 6.818 0.8042
280 7.095 0.8044
300 7.368 0.8047
350 8.083 0.8053
400 8.808 0.8054
450 9.536 0.8056
500 10.282 0.8058
550 11.035 0.8059
600 11.794 0.8063
650 12.558 0.8064
700 13.345 0.8064
750 14.124 0.8065
800 14.912 0.8067
900 16.503 0.8067
1000 18.109 0.8067
1100 19.721 0.8068
1200 21.348 0.8068
1300 22.978 0.8068
1400 24.622 0.8068
1500 26.276 0.8068
1600 27.91 0.8068
1700 29.567 0.8068
1800 31.201 0.8068
1900 32.874 0.8068
