efK qt recall
1 2.178 0.1426
6 2.324 0.4187
11 2.488 0.4966
16 2.613 0.5454
21 2.714 0.5828
26 2.806 0.614
31 2.88 0.6362
36 2.97 0.652
41 3.047 0.6618
46 3.111 0.6692
51 3.182 0.6722
56 3.242 0.6742
61 3.308 0.6792
66 3.373 0.6839
71 3.434 0.6882
76 3.495 0.6902
81 3.552 0.6923
86 3.608 0.6944
91 3.672 0.697
96 3.723 0.6995
100 3.766 0.6998
120 4.004 0.7048
140 4.215 0.7065
160 4.442 0.7096
180 4.643 0.7099
200 4.854 0.7112
220 5.061 0.7115
240 5.266 0.7117
260 5.478 0.7121
280 5.69 0.7123
300 5.904 0.7126
350 6.442 0.7131
400 6.989 0.7132
450 7.543 0.7138
500 8.099 0.7139
550 8.682 0.7144
600 9.277 0.7146
650 9.857 0.715
700 10.455 0.715
750 11.259 0.715
800 11.677 0.7155
900 12.916 0.7155
1000 14.16 0.7155
1100 15.417 0.7155
1200 16.69 0.7155
