efK qt recall
1 2.199 0.1476
6 2.455 0.4344
11 2.545 0.5333
16 2.715 0.6026
21 2.888 0.6666
26 3.063 0.7115
31 3.239 0.7502
36 3.437 0.7774
41 3.607 0.7936
46 3.744 0.8056
51 3.892 0.8157
56 4.033 0.8226
61 4.192 0.8311
66 4.366 0.8404
71 4.549 0.8484
76 4.725 0.8545
81 4.884 0.8583
86 4.986 0.8627
91 5.125 0.8677
96 5.244 0.8705
100 5.341 0.871
120 5.932 0.8821
140 6.435 0.8856
160 6.93 0.8903
180 7.421 0.8917
200 7.896 0.8938
220 8.324 0.895
240 8.769 0.8955
260 9.212 0.8964
280 9.623 0.8964
300 10.056 0.8965
350 11.163 0.8975
400 12.267 0.8976
450 13.358 0.898
500 14.556 0.899
550 15.701 0.8991
600 16.857 0.8995
650 18.015 0.8995
700 19.158 0.8995
750 20.345 0.8995
800 21.523 0.8996
900 23.918 0.8996
1000 26.326 0.8996
1100 28.81 0.8996
1200 31.333 0.8999
