efK qt recall
1 2.199 0.1476
6 2.336 0.4343
11 2.53 0.532
16 2.701 0.6002
21 2.858 0.6629
26 3.03 0.7071
31 3.197 0.7455
36 3.38 0.7724
41 3.547 0.789
46 3.678 0.8001
51 3.816 0.81
56 3.946 0.8169
61 4.104 0.825
66 4.269 0.8343
71 4.427 0.8419
76 4.575 0.8484
81 4.723 0.8518
86 4.846 0.856
91 4.974 0.861
96 5.081 0.8638
100 5.174 0.8643
120 5.739 0.8755
140 6.205 0.8791
160 6.683 0.8838
180 7.133 0.8852
200 7.595 0.8878
220 7.993 0.8888
240 8.416 0.889
260 8.839 0.8899
280 9.226 0.89
300 9.639 0.8902
350 10.696 0.8918
