efK qt recall
1 2.398 0.1448
6 2.578 0.441
11 2.762 0.5362
16 3.168 0.6138
21 3.424 0.6836
26 3.776 0.7288
31 4.124 0.7698
36 4.41 0.7994
41 5.398 0.8182
46 5.288 0.8328
51 5.42 0.844
56 6.036 0.8482
61 5.684 0.8566
66 6.108 0.8674
71 6.894 0.8786
76 7.414 0.8872
81 7.202 0.8924
86 7.634 0.8968
91 7.724 0.9054
96 7.818 0.9086
100 8.04 0.9088
120 10.342 0.9232
140 10.126 0.9272
160 11.06 0.936
180 12.448 0.9372
200 14.518 0.9398
220 14.584 0.9404
240 15.534 0.9414
260 15.012 0.9428
280 15.586 0.943
300 16.67 0.9434
350 20.124 0.9438
400 18.93 0.9442
450 21.178 0.9448
500 22.328 0.945
550 24.076 0.9458
600 25.758 0.9458
650 27.502 0.9458
700 29.6 0.9458
750 31.232 0.9458
800 32.812 0.9458
900 36.33 0.946
1000 40.14 0.946
1100 44.028 0.946
1200 47.832 0.946
1300 51.566 0.946
1400 55.31 0.946
1500 59.274 0.946
1600 63.072 0.946
1700 66.882 0.946
1800 70.9 0.946
1900 75.088 0.946
