efK qt recall
1 2.085 0.1426
6 2.41 0.4187
11 2.551 0.4966
16 2.686 0.5454
21 2.651 0.5828
26 2.749 0.614
31 2.81 0.6362
36 3.062 0.652
41 3.157 0.6618
46 3.98 0.6692
51 3.125 0.6722
56 3.349 0.6742
61 3.26 0.6792
66 3.488 0.6839
71 3.554 0.6882
76 3.45 0.6902
81 3.521 0.6923
86 3.583 0.6944
91 3.633 0.697
96 3.862 0.6995
100 3.757 0.6998
120 3.978 0.7048
140 4.204 0.7065
160 4.608 0.7096
180 4.796 0.7099
200 4.897 0.7112
220 5.053 0.7115
240 5.303 0.7117
260 5.503 0.7121
280 5.696 0.7123
300 6.093 0.7126
350 6.618 0.7131
400 6.995 0.7132
450 7.54 0.7138
500 8.11 0.7139
550 8.893 0.7144
600 9.312 0.7146
650 9.86 0.715
700 10.557 0.715
750 11.089 0.715
800 11.73 0.7155
900 13.128 0.7155
1000 14.165 0.7155
1100 15.642 0.7155
1200 17.125 0.7155
1300 18.015 0.7155
1400 19.328 0.7155
1500 20.601 0.7155
1600 21.839 0.7155
1700 23.156 0.7155
1800 24.389 0.7155
1900 25.66 0.7155
