,Indegree
562832,1
562846,7
562854,2
562864,1
562867,36
562868,3
562871,429
562876,210
562891,2
562892,17
562894,1
562907,3
562910,4
562923,1
562935,1
562937,2
562943,812
562944,1
562951,6
562959,5
562962,3
562994,1
563009,488
563026,1
563037,1
563044,2
563049,88
563061,63
563065,1124
563076,24
563084,177
563096,3
563109,2
563149,11
563152,2
563165,1
563192,1790
563204,5
563227,54
563236,2
563243,17
563264,5
563280,30
563294,6
563296,13
563301,12
563313,4
563320,1
563343,18
563354,1
563357,7
563363,6
563379,4
563382,2
563385,13
563457,1
563459,11
563472,5
563491,1
563531,22
563556,1
563565,6
563567,151
563590,38
563599,4
563626,1
563649,1
563658,1
563659,4
563666,1
563668,1
563685,26
563698,2
563718,1
563720,1
563724,15
563731,232
563735,23
563738,4
563741,3
563750,117
563756,1
563758,2
563765,2
563777,2
563794,1
563795,4
563811,4
563829,1
563834,5
563848,1807
563850,2
563863,1
563870,1
563890,2
563903,1
563917,1
563924,3
563925,8
563929,2
563933,151
563945,122
563957,46
563969,1
563995,256
564001,6
564003,2
564005,1
564024,1
564032,1
564042,47
564072,144
564075,22
564087,54
564096,4
564112,5
564119,9
564138,1
564153,1
564171,1285
564172,3
564181,1
564183,1
564196,1
564198,4
564211,21
564238,6
564245,2
564267,3
564271,32
564277,1
564280,31
564300,1
564315,1
564320,1
564327,392
564328,1
564333,44
564335,4
564338,1
564339,5
564350,1
564361,27
564362,2
564387,1
564390,1
564406,7
564432,2
564449,11
564455,912
564469,2
564476,2
564495,1
564498,64
564500,25
564501,8
564503,1
564505,1
564512,2
564524,2
564527,4
564538,1
564556,46
564563,206
564566,11
564589,1
564591,2
564621,1
564627,8
564633,37
564636,4
564641,1
564642,1
564644,1
564652,1
564669,2
564675,1
564685,1447
564690,30
564696,5
564716,300
564717,1
564722,3
564731,1
564735,400
564739,1
564749,4
564761,2
564763,32
564773,5
564778,92
564783,765
564794,12
564796,8
564798,1
564807,1
564822,5
564835,1
564840,6
564854,3
564869,5
564889,6
564892,5
564895,1
564897,2
564907,1
564916,1
564964,31
564997,1
565009,1
565025,1
565029,203
565048,12
565060,1
565064,6
565087,13
565097,2
565098,14
565099,29
565125,1
565137,21
565140,3
565155,500
565162,307
565165,1
565170,1
565181,1
565184,10
565231,1
565238,2
565239,5
565240,57
565266,1
565291,1
565308,1
565309,3
565338,1
565342,1329
565344,1
565349,2
565364,2
565378,3
565381,64
565400,2
565407,1
565410,1
565412,9
565423,3
565432,25
565433,17
565466,71
565468,10
565470,30
565478,1
565480,507
565482,5
565486,1
565494,15
565497,1
565519,20
565521,3
565529,67
565547,1
565580,1
565584,358
565585,1
565597,13
565601,1
565607,6
565620,366
565630,1
565655,1
565664,1
565692,6
565695,4
565708,2
565716,21
565740,2
565743,1
565754,1
565763,34
565766,1500
565769,25
565781,12
565786,6
565789,3
565800,9
565810,1
565811,1
565812,2
565813,1
565814,178
565852,2
565856,1
565857,5
565859,1
565860,2
565861,36
565884,1
565887,3
565893,36
565900,2597
565941,30
565942,1
565949,2
565960,7
565961,54
565974,997
565977,35
566002,1
566010,18
566017,1
566019,9
566032,51
566033,1
566035,160
566050,15
566055,3
566058,2
566068,1
566071,9
566073,5
566078,153
566099,1
566112,1
566175,1
566182,5
566191,1
566201,1
566204,3
566207,86
566212,1
566227,4
566252,3
566265,4
566287,130
566310,1
566316,2
566321,1
566322,2
566326,19
566366,9
566368,2
566387,304
566413,91
566420,4
566434,1
566436,84
566447,1
566450,1
566458,2009
566461,1
566470,3
566489,41
566494,2
566497,1
566502,3
566508,1
566509,1
566521,1
566538,1
566547,1
566552,2
566560,47
566569,205
566573,1
566580,1
566601,1
566610,3
566624,4
566635,5
566644,2
566658,3
566736,2
566778,35
566783,5
566786,1
566791,26
566795,2
566810,1
566828,85
566834,3
566851,17
566865,1
566874,2
566876,1
566880,4
566883,34
566887,3
566891,13
566905,1
566915,34
566926,57
566968,772
566978,1
566989,1
567012,1
567014,1
567042,1
567048,2
567049,803
567057,1
567061,6
567064,39
567065,1
567076,1
567087,20
567100,1
567116,3
567128,1
567131,142
567144,2
567146,3
567171,1
567174,1
567179,52
567195,47
567210,9
567215,32
567218,18
567219,16
567224,1
567235,1
567245,1
567255,1
567259,43
567264,1
567265,1
567266,12
567280,1
567287,65
567330,1
567341,3
567347,1
567359,2
567375,1
567390,2
567400,4
567408,16
567424,174
567439,58
567443,1
567447,1
567449,2
567462,1
567464,32
567474,42
567475,27
567476,12
567512,2
567516,3
567543,5
567551,8
567602,1677
567614,1
567615,1
567616,1
567643,16
567646,8
567660,15
567678,1
567683,2
567696,1
567700,66
567701,1317
567721,1
567726,13
567730,576
567736,1
567744,1710
567748,1
567765,1
567774,27
567782,1
567821,6
567832,8
567837,1
567847,7
567878,2
567888,2
567896,2
567907,4
567910,1
567917,18
567923,800
567942,3
567943,62
567951,31
567969,11
567976,33
567991,21
568022,55
568030,7
568033,21
568042,1
568047,5
568054,2217
568061,4
568064,2
568129,113
568133,1
568134,1
568144,1
568155,1
568164,13
568184,311
568192,1
568196,39
568208,55
568226,1
568239,149
568251,12
568262,22
568264,4
568265,1
568279,2
568294,1
568304,15
568312,5
568319,2
568335,1
568346,1151
568348,1
568355,1
568359,339
568366,53
568378,1
568382,6288
568392,44
568393,1
568411,1
568412,1
568415,170
568422,1
568429,1
568436,2
568440,1
568472,8
568476,2
568493,297
568505,30
568539,30
568543,2
568559,13
568574,8
568576,7
568577,3
568580,8
568591,1
568613,2
568623,3
568624,3
568646,2
568651,3
568656,112
568658,3
568659,675
568681,2
568710,31
568716,57
568720,22
568728,134
568733,2
568747,4
568757,23
568761,1
568768,6
568779,6
568812,115
568821,7
568862,2
568863,4
568880,7
568886,1
568900,1160
568914,5
568920,2
568934,2
568935,1
568940,79
568942,25
568943,22
568964,4
569000,12
569008,14
569018,1
569038,27
569040,19
569046,2
569047,7
569064,14
569071,348
569075,110
569086,2
569088,3
569093,3
569101,915
569138,1
569144,2
569146,6
569158,2
569163,1
569164,2
569165,163
569169,20
569179,9
569181,2
569184,27
569190,5
569200,10
569206,103
569244,33
569249,2889
569250,10
569258,44
569279,4
569282,2
569291,1
569309,120
569314,5
569325,3
569343,1
569348,111
569357,1
569363,36
569368,1
569371,1
569376,1
569390,7
569397,29
569417,38
569423,7
569430,2
569435,1
569443,8
569461,36
569465,1
569472,3
569487,114
569499,3
569501,24
569530,48
569538,1125
569562,1
569583,5
569592,6
569599,1
569619,1
569622,3
569628,1
569631,2
569699,5
569702,22
569711,80
569721,2
569731,31
569734,1
569737,5
569756,838
569769,5
569771,2
569779,11
569780,1993
569784,1
569789,1
569807,1
569809,2
569818,3
569820,1
569827,16
569834,2490
569835,1
569848,1
569877,1
569900,2
569901,250
569907,2
569911,4
569912,18
569913,5
569919,12
569923,1
569935,2
569943,12
569949,7
569950,75
569954,6
569959,1
569963,1
569989,1
569990,1
569999,220
570029,1
570060,8
570064,2
570068,4
570071,783
570089,2
570101,3
570103,2
570112,121
570113,4
570136,121
570141,5
570145,1325
570149,3
570150,220
570162,8
570173,1
570180,259
570188,2
570196,7
570203,1
570206,1
570216,1
570224,21
570231,1
570235,73
570245,3
570251,4
570254,3
570266,1
570269,13
570274,3
570279,2
570281,215
570285,5
570295,4
570317,1
570318,1
570320,13
570328,1
570330,43
570336,1
570354,1
570364,206
570374,392
570382,2
570387,2
570390,3
570392,94
570405,12
570433,12
570439,1
570444,9
570448,9
570462,1
570487,22
570505,27
570519,6
570520,60
570537,137
570550,8
570566,1
570572,3
570594,5
570599,12
570617,5
570648,1
570661,6
570685,2
570689,5
570691,3
570700,65
570701,4
570718,4
570732,2
570757,4
570765,292
570773,1
570788,19
570790,2
570803,1
570816,1
570821,1
570826,4
570831,3
570856,4
570865,1
570876,2
570888,96
570893,138
570900,6
570911,4
570913,3
570932,6
570940,1
570942,1
570949,1
570970,4
570997,3
570998,1
570999,410
571001,11
571002,1
571004,215
571006,3
571010,2
571025,1
571038,3
571043,4
571050,3
571063,692
571066,1
571082,1
571084,4
571085,53
571088,4
571099,18
571101,2
571102,9
571120,80
571127,2
571129,1
571133,6
571138,10
571161,919
571162,1
571165,3
571171,4
571175,61
571181,50
571182,314
571187,17
571188,16
571205,1
571206,6
571227,14548
571229,82
571231,28
571245,106
571253,1
571254,1
571255,77
571257,1
571285,11
571293,1
571326,6
571330,452
571337,85
571343,1
571359,4478
571363,136
571367,70
571371,1
571374,6
571375,450
571388,86
571399,1
571405,21
571409,1
571411,1
571420,3
571428,1
571440,3166
571443,3
571453,124
571455,2005
571473,9
571494,326
571511,1
571519,1
571551,1
571554,1589
571564,5
571567,1
571573,61
571574,53
571580,4
571589,15
571610,1
571674,129
571676,1
571678,8
571687,60
571694,13
571719,2
571728,2
571759,2
571774,3
571777,10
571780,2558
571784,1
571785,2
571801,1
571804,4
571808,782
571810,1
571818,2
571831,25
571841,36
571852,7
571865,5813
571866,1
571876,5
571885,10
571900,25
571903,1
571905,1
571906,35
571917,1
571931,3
571932,1
571951,2
571957,762
571967,713
571969,2
571991,2237
571995,9
571996,21
572014,12
572031,3
572073,2119
572079,4
572109,1562
572117,3575
572124,2785
572145,50
572154,152
572162,1
572171,43
572176,1
572178,2
572190,43
572196,1
572203,76
572213,125
572226,4
572227,1
572252,1
572253,4
572258,2
572261,608
572267,3
572271,1
572273,2
572274,1
572290,5
572293,50
572307,14791
572349,1
572353,2
572368,1
572375,5
572378,1
572379,1
572381,3
572387,2
572390,6
572393,1
572403,28
572415,1
572420,1
572427,1
572452,11
572481,1
572485,1
572489,65
572493,5
572524,56
572533,1
572536,1
572548,3
572575,1
572592,2
572608,275
572610,10
572616,47
572622,1
572642,2
572699,160
572716,2
572726,2
572730,2
572743,45
572767,1200
572777,8
572782,1
572787,1
572806,3
572810,34
572813,40
572814,4
572815,5
572823,1
572826,1
572832,4
572839,4
572851,1
572852,3
572876,1
572882,2
572894,2
572895,1
572898,74
572909,1
572917,248
572923,5
572925,3
572931,1
572947,7
572958,2
572961,10
572976,12
572977,4
572981,855
572984,2
572987,15
572988,1
573001,1
573004,12
573006,444
573007,272
573013,5
573018,1
573047,2
573073,23
573076,1
573094,6
573114,18
573123,133
573130,11
573136,1
573140,1
573153,1
573158,11
573169,1
573172,2
573200,49
573216,252
573217,1
573220,3
573227,3
573238,37
573239,42
573255,7
573259,11
573268,1
573272,12
573275,567
573287,376
573289,59
573301,182
573315,11
573322,2
573324,1
573330,1
573337,1
573340,5
573355,2
573365,3007
573379,2
573404,1
573405,2
573418,1
573431,5
573432,3
573439,3
573444,1
573445,1
573446,1944
573460,8
573476,8
573493,1
573507,89
573512,22
573513,11
573517,1
573550,1
573555,4
573556,4
573562,3
573571,3
573572,5085
573576,2
573583,3
573586,2
573589,3
573605,1
573618,1
573620,2
573625,2
573636,1
573639,1
573663,4
573666,1
573682,1
573690,1
573699,1
573704,3
573708,674
573709,1
573719,247
573729,2
573747,2
573765,95
573784,4
573789,1
573793,1
573806,90
573843,1
573851,2
573852,10
573856,1
573861,1
573863,4
573866,1541
573873,1
573885,1979
573891,2
573892,158
573894,3
573904,2
573916,1
573931,71
573935,16
573964,1
573978,33
573983,2
573986,1
573991,1
574017,2
574031,5
574042,68
574044,124
574050,1
574065,2
574067,4
574072,2
574074,2
574083,530
574106,1
574109,1
574118,1061
574125,987
574127,2
574138,58
574142,2
574150,2
574155,14831
574160,11
574168,3
574169,93
574171,1
574172,1
574186,4
574215,1
574222,1
574229,473
574247,6
574303,9
574304,7
574325,8
574341,75
574348,7
574377,1
574398,1
574405,1
574417,10
574436,3
574443,1
574448,1
574450,2037
574461,357
574489,4
574504,11
574518,5
574526,6
574543,1
574546,5
574556,19
574571,4
574582,1
574586,1
574607,1004
574626,1
574631,3
574642,4
574658,1
574665,1
574679,1093
574683,5
574689,1
574712,4
574715,7
574721,12
574727,3
574728,237
574761,8
574774,11
574781,1
574801,5
574803,542
574804,6
574805,1
574811,3
574817,38
574831,2
574837,26
574838,2
574853,2
574855,134
574856,1119
574858,29
574863,2
574875,538
574879,5
574884,421
574887,265
574904,1
574908,143
574924,9
574929,7635
574936,1
574956,45
574963,3
574970,2
574977,101
574985,6
574989,1376
574992,1
575002,4
575005,33
575010,10
575026,22
575039,3
575045,25
575059,76
575081,12
575088,1
575115,1
575117,6
575125,1
575139,5
575142,1
575182,34
575191,1
575204,77
575209,226
575211,2
575236,1
575238,1
575248,43
575279,18
575305,3
575308,14
575320,31
575321,3
575328,267
575341,84
575368,1
575376,1
575398,13
575399,2
575421,3
575447,88
575460,3
575463,1
575476,2
575478,3
575489,1
575498,7
575500,2
575517,1228
575543,4
575546,1
575558,1
575570,5
575579,21
575588,96
575593,133
575645,6
575646,1
575652,1
575656,1
575672,1
575693,5
575707,2
575710,10
575718,12
575745,5
575746,140
575751,9
575761,1
575770,1
575784,1
575788,1
575805,111
575811,3
575844,1
575876,546
575901,1
575928,3
575937,5
575955,4
575968,2
575971,11
575977,2
575984,4
576011,1
576024,1
576028,1
576038,6
576055,2
576067,1
576102,2
576104,3
576106,1
576111,7
576115,1
576118,1
576121,4
576126,4
576133,3
576140,24
576141,3
576142,1
576149,10
576156,369
576171,21
576182,1
576186,43
576188,11
576215,13
576223,1
576249,2
576289,3
576299,5
576300,2
576301,16
576304,2
576320,33
576344,74
576347,17
576357,30
576372,2
576375,1350
576399,117
576419,1
576420,2
576423,4
576440,1
576445,1
576452,2
576463,1
576464,20
576471,3
576473,1
576475,6
576493,2988
576509,9
576536,1
576538,1
576541,1
576557,12
576582,112
576586,1
576588,1
576596,2
576599,1
576606,1
576623,3
576627,1
576639,5
576645,3
576649,1
576654,18
576660,15
576667,1
576678,1
576719,2
576731,2
576734,2
576741,19
576754,1
576763,1
576765,1
576773,3
576783,1
576785,4
576795,1
576811,77
576822,24
576837,1
576838,5
576846,12
576849,12
576851,22
576885,1
576893,1
576907,1
576913,2
576922,1
576929,2
576930,5
576941,13
576964,9
576980,48
576991,9
577012,1
577016,154
577042,19
577059,1
577066,121
577076,1
577078,2
577093,2
577096,1
577098,7
577102,5
577113,1
577118,140
577120,1
577121,10
577130,3
577135,2
577141,7
577143,6
577157,1
577158,40
577167,2
577171,1
577174,4
577177,274
577234,2
577238,1
577242,9
577243,1
577248,1
577276,1
577289,571
577304,43
577309,1
577311,1
577329,34
577372,98
577375,1
577378,1
577398,104
577453,3
577455,17
577463,10
577467,8
577477,6
577488,3
577519,1
577532,1
577534,236
577536,379
577538,2
577546,4
577554,2
577566,1
577573,1116
577580,1
577594,2
577604,3
577611,6
577619,1
577636,9
577642,116
577648,17
577649,935
577653,3
577654,1
577685,2
577686,3
577700,1
577701,1
577711,1
577715,1
577726,1
577731,8
577734,31
577738,440
577746,1
577753,1
577760,1
577799,1
577802,13
577810,8
577833,2
577834,2
577875,1
577881,1
577898,3
577902,3
577907,2
577934,39
577953,15
577955,5
577968,1
577979,7
577993,1
577996,1
578013,2
578015,3497
578021,22
578023,385
578027,3
578031,7
578078,1
578086,2
578106,28
578127,62
578138,1
578145,8
578153,1
578157,48
578159,2
578178,5
578209,7
578214,2
578217,1
578229,1
578237,2
578244,87
578270,38
578279,2
578280,1
578295,6
578296,79
578309,1
578324,5
578325,1
578339,1
578349,3
578400,55
578422,11
578425,4
578428,8
578433,2
578436,1
578439,170
578444,16
578445,1
578454,20
578459,9
578471,4
578472,1
578485,2
578487,1
578488,1
578489,2
578499,18
578519,18
578550,3
578556,2
578571,2
578572,101
578581,16
578583,3
578594,8
578607,1
578618,3
578628,2
578661,281
578668,2
578696,3
578698,119
578715,2
578741,2
578742,4
578744,1
578754,9
578762,5
578774,1
578777,1
578809,3
578811,2
578814,2
578815,1
578819,3
578842,8
578854,3
578883,54
578897,2
578899,85
578955,3
578959,1
578969,2
578978,1
578979,23
578986,1
579003,2
579010,1
579019,1
579032,12
579036,3
579042,1
579069,2
579071,4
579073,4
579075,1
579093,60
579096,1
579101,1
579102,2
579104,70
579106,5
579109,1
579111,6
579121,4
579123,11
579133,174
579142,3
579149,620
579158,1
579162,3
579191,3
579192,33
579205,3
579212,1
579236,6
579246,1
579256,2
579257,5
579261,1
579277,1
579283,3
579284,1
579291,1
579295,1
579300,376
579302,1
579303,3
579309,1
579329,1
579344,4
579350,23
579351,1
579352,1
579368,293
579371,1
579377,3
579393,66
579423,7
579434,1
579439,4
579442,2
579445,6
579451,454
579453,53
579476,14
579495,6
579501,1
579510,14
579511,81
579518,4
579545,1
579557,6
579568,1
579570,3
579578,3
579610,4
579614,8
579618,1
579628,1
579644,1
579651,2
579654,18
579659,21
579675,1
579677,1
579681,30
579686,1
579695,2
579696,1
579717,3
579721,11
579741,4
579745,2
579751,1075
579758,5
579771,3
579811,2
579815,208
579816,42
579843,170
579844,1180
579862,2
579864,1
579871,6
579873,1
579879,2
579888,1
579934,9
579945,1
579946,1
579951,1
579954,2
579965,1
579966,39
579972,148
579983,1
579989,39
579990,1
580001,12
580003,1
580017,54
580030,8
580033,40
580035,1
580036,1
580039,10
580049,11
580054,1
580055,9
580057,2
580059,49
580064,1
580069,3
580079,64
580084,9
580095,1
580096,1
580099,3
580112,34
580117,52
580127,21
580149,1
580157,1
580158,22
580159,1
580178,1
580196,3
580204,1
580215,33
580234,42
580242,1
580244,3
580256,1
580265,5
580266,1
580296,2
580299,8
580305,1
580306,55
580320,2
580321,1
580338,6
580358,1
580364,1
580370,19
580378,11
580380,4
580394,1
580396,2
580402,32
580405,2
580414,2
580435,25
580443,1
580449,7
580450,151
580460,1
580466,2
580471,1630
580475,39
580490,13
580495,9
580515,112
580521,3
580523,1
580547,3
580549,3
580555,2
580557,6
580558,490
580560,203
580565,1
580574,2
580586,2
580595,15
580612,1
580617,1
580630,1
580645,1
580655,218
580672,1
580690,1
580698,1
580699,1
580739,2
580751,1
580769,1
580771,1
580795,10
580804,6
580814,1
580822,1
580826,351
580847,5
580850,1
580868,3
580874,203
580891,1
580900,1
580903,20
580906,1
580913,416
580915,1
580939,704
580950,396
580965,1
580985,105
580989,1
580998,2
581010,63
581012,72
581013,2
581019,2
581027,1
581057,3
581081,24
581083,2
581084,36
581085,4
581086,150
581094,7
581107,2
581119,1
581122,1
581124,21
581137,5
581138,1
581139,4
581140,1
581166,4
581168,1
581178,1
581210,37
581214,20
581227,1
581230,197
581233,15
581243,42
581266,159
581274,5
581283,1
581296,3
581308,3
581321,2
581323,2402
581325,1
581339,1
581352,7
581360,4
581368,1
581369,59
581371,4766
581373,4
581389,5
581400,1
581407,1
581421,7
581429,6
581432,2
581436,1119
581438,2
581442,6
581455,1
581461,1
581467,72
581470,1
581477,3
581492,1
581511,1
581516,5
581520,6
581528,383
581551,3
581553,1
581589,14
581592,3
581597,3
581602,1
581605,2
581615,20
581620,3
581627,4
581630,56
581631,2
581633,1
581653,104
581657,7
581658,1360
581661,1
581665,104
581676,5
581683,1
581694,1
581711,7
581726,1
581730,1
581733,1
581745,135
581755,1
581759,1
581765,10
581777,28
581805,4
581810,1
581826,20
581847,2
581851,2
581861,2
581881,27
581891,2
581910,21
581912,3
581913,32
581925,1
581943,3
581947,1
581957,1664
581965,1
581987,1
581998,2
582005,1
582019,29
582033,4
582036,1
582056,2
582101,1
582107,549
582146,5
582153,1
582164,2
582172,2
582182,1
582190,1
582199,97
582201,2
582238,119
582272,9
582280,1
582282,1
582299,6
582300,18
582301,1
582306,20
582307,6
582314,1
582350,17
582356,2
582368,61
582371,1
582377,3
582381,16
582391,30
582397,8
582433,271
582441,51
582445,3
582455,11
582460,3401
582465,1
582473,1
582492,2
582493,2
582511,1
582524,1
582572,1
582574,5
582582,3
582588,74
582603,45
582627,3
582633,6
582635,37
582653,2
582664,719
582669,1
582678,2
582682,16
582694,36
582707,1
582711,2
582712,29
582713,1
582723,5
582727,2
582735,3
582750,1
582762,1
582767,4
582807,1
582821,16
582829,11
582837,157
582851,292
582861,14
582866,3
582872,1
582880,1
582884,1
582885,66
582888,1
582929,2
582933,16
582953,10
582955,2
582956,16
582978,2
582986,1
582992,4
582995,18
583017,1
583023,4
583044,15
583053,6
583059,1
583103,30
583118,850
583129,1
583139,746
583141,133
583154,1
583170,85
583173,1
583181,2
583185,30
583210,1
583213,1124
583222,2
583229,3
583242,2
583251,28
583253,3
583280,42
583297,1
583308,1
583318,2549
583330,3
583339,1
583342,1
583362,3
583368,1348
583372,10
583379,14
583380,15
583387,1
583396,17
583423,1
583438,34
583441,7
583453,135
583454,2
583464,1
583475,37
583479,1
583480,5
583488,6
583499,75
583509,4
583526,1573
583534,2
583550,9
583565,3
583582,2
583593,2
583594,37618
583595,4
583600,2
583601,2
583603,23
583610,2
583620,120
583623,1
583636,1
583642,1
583656,1
583660,1
583688,18
583696,274
583700,2
583704,1
583705,1
583714,22
583720,5
583727,25
583733,139
583756,2927
583763,1
583767,6
583774,4
583779,1
583796,14
583798,1
583799,40
583800,2
583801,1
583805,1
583807,1
583810,3
583830,8
583843,4
583846,158
583849,1
583877,2
583886,1
583888,2
583890,6
583899,599
583906,1
583914,209
583916,4
583922,7
583929,6
583934,1
583948,4
583958,321
583967,19
583984,44
584023,1
584024,3
584028,29
584033,18
584045,1
584046,3
584047,4
584063,32
584064,2
584066,121
584093,24
584096,60
584104,37
584114,1
584121,1
584131,7
584133,11
584139,1
584155,1
584157,7
584162,2
584175,2
584211,6
584212,2
584220,49
584224,1
584226,36
584234,88
584237,4
584240,3
584241,5
584243,1
584256,14
584282,189
584285,6
584289,2
584295,1
584303,1
584312,1412
584317,2
584324,33
584326,5
584329,1
584331,2
584333,96
584359,6
584360,1
584366,1
584378,201
584380,1
584384,2
584392,1
584399,1
584437,636
584456,7
584462,38
584473,3
584479,10
584485,136
584497,49
584535,321
584553,5
584559,2
584573,5
584585,1
584594,6
584597,5
584628,1
584661,38
584664,75
584689,1
584692,1802
584697,7
584711,1
584712,199
584719,115
584735,2
584747,24
584752,9
584754,6
584768,1
584778,26
584779,6
584802,134
584822,1
584828,1
584896,1304
584898,1
584917,5
584934,1
584956,1
584975,38
584977,1
584985,1
584990,11
585003,10
585004,5
585012,7
585015,1
585041,1
585056,5
585065,4
585070,3
585077,17
585093,791
585096,223
585098,11
585121,185
585122,4
585154,154
585163,1
585167,5
585170,1
585172,178
585179,477
585183,49
585187,8
585190,1
585204,3
585209,6
585215,1
585216,1
585243,20
585251,1
585274,1
585293,1
585295,4
585298,7581
585312,54
585327,49
585336,1
585346,1
585347,1
585352,2
585358,16
585360,3
585366,3
585367,66
585381,3
585387,1
585396,1
585399,148
585440,1
585452,1
585471,40
585483,9
585486,3
585490,488
585499,1
585508,68
585522,2
585543,4
585547,36
585548,2
585571,2
585572,11
585585,1
585589,1
585596,1200
585597,4384
585598,3
585602,1003
585623,27
585642,614
585643,3
585650,2
585653,11
585662,1
585669,3
585696,3
585697,4
585710,1
585725,6
585728,3
585735,1
585746,57
585747,1
585753,5
585769,11
585776,2397
585781,1793
585786,8
585799,5
585810,1
585834,1
585844,2
585850,10
585860,17
585864,1
585870,23
585897,4
585902,3
585907,463
585928,2
585929,31
585949,62
585965,1
585984,8
585987,7
585993,173
586001,13
586003,3
586012,2
586015,1
586028,6
586031,3
586042,2
586043,3
586049,3
586061,2
586068,1
586071,1
586081,12
586090,16
586092,4
586108,2
586116,42
586129,21
586158,1
586170,2
586213,4
586237,3
586240,19
586241,1
586245,1
586253,1
586257,1
586269,1
586270,6
586273,120
586288,3
586302,176
586307,4
586310,7
586312,2
586322,362
586329,2
586330,6
586334,3
586341,19
586355,1
586369,4
586392,19
586407,27
586408,5
586426,14
586435,6
586456,1
586478,4
586481,20
586487,410
586498,757
586504,1
586510,18
586547,42
586559,26
586571,3
586589,23
586597,3
586619,4
586641,10
586642,2
586645,1
586666,2490
586678,104
586706,29
586710,4
586719,7
586727,10
586734,3
586737,1
586744,1
586766,1
586767,1
586769,9
586781,4
586783,486
586788,2
586789,3
586825,8
586830,1
586836,732
586855,1664
586856,27452
586871,1
586875,1
586894,2
586907,237
586912,1
586914,119
586918,60
586921,3
586924,6
586946,4
586963,14
587000,657
587024,2
587025,8
587042,386
587045,785
587066,1
587067,18
587068,1
587081,1
587093,210
587098,7
587099,3
587126,1
587137,61
587177,9
587181,1
587183,33
587190,2
587195,10
587196,1
587204,2
587209,1395
587242,21
587253,7
587257,1
587264,163
587267,3
587278,869
587309,15
587314,3
587324,2
587337,1
587340,5
587345,31
587366,4
587378,3
587409,776
587432,25
587439,5
587453,1
587477,2
587483,57
587491,370
587493,2
587498,303
587501,8
587506,1
587522,5
587523,1
587530,1
587544,2
587546,4311
587562,1
587564,1
587584,4
587585,10
587586,1
587589,1
587601,11
587615,8
587620,27
587630,79
587647,2
587678,7
587683,1
587710,1
587711,4
587717,1
587719,8
587723,1
587730,178
587748,4
587773,1
587787,11
587790,1
587792,1
587794,3
587797,3
587814,1
587821,297
587831,2
587838,1
587850,1
587851,2
587881,1
587896,39
587912,1
587938,1
587942,2
587946,1
587949,2
587950,1
587960,15
587991,1
587995,2
588014,5
588023,1
588039,2
588058,2
588079,2
588091,35
588101,2
588110,3
588112,5143
588114,4
588116,1244
588142,1
588178,2
588181,105
588190,9
588193,5
588199,15
588203,3
588209,1
588216,3
588239,2
588243,73
588289,4
588302,1
588305,154
588320,179
588323,2
588325,1
588326,31
588350,13
588372,2
588381,24
588382,1
588387,1
588394,15
588404,3
588410,11
588416,2
588424,26
588438,3
588442,5
588451,42
588452,58
588473,1
588475,1
588479,53
588483,1
588490,1
588491,5
588498,1
588499,1
588506,9
588546,1
588548,46
588552,409
588553,9
588558,4
588559,53
588577,2
588604,4
588607,2
588628,40
588670,417
588674,2
588680,50
588693,1
588705,2
588706,13
588721,274
588731,1
588733,139
588738,4
588766,2
588768,1
588777,6
588781,2
588798,11
588805,29
588811,4
588816,1
588828,1
588830,1
588840,2
588852,7
588873,1
588874,7
588879,1
588891,642
588893,73
588894,7
588920,13
588933,8
588939,13
588949,1
588954,2
588976,2
588983,2
589014,1
589015,105
589023,4
589028,1879
589030,1
589048,1
589050,2
589065,1
589068,2
589069,5
589081,25
589085,1
589105,1
589114,2
589129,1
589152,1189
589157,7
589168,13
589182,1
589198,43
589213,1
589238,141
589249,1
589268,1
589273,2
589292,2
589293,1
589296,4
589306,5
589308,39
589331,8
589341,3
589342,4
589358,259
589362,5
589367,81
589374,1
589389,2
589393,16
589401,1
589404,1
589408,3
589433,26
589441,114
589454,84
589478,1
589483,28
589535,1
589538,591
589579,9
589593,38
589596,6
589597,3
589598,4
589619,2
589634,2
589638,2
589639,1
589667,1
589682,59
589727,1
589729,2
589741,2
589806,1
589815,1
589818,13
589821,20
589831,8
589833,104
589841,1
589843,1
589855,1
589859,1
589862,2
589870,1
589880,1
589904,20
589914,81
589929,1
589933,6
589936,9
589937,200
589944,6149
589945,671
589979,1
589989,38
589995,1
590015,3
590022,2
590030,1
590031,6
590053,44
590062,3
590065,32
590072,2
590086,14
590109,3
590112,1
590151,3
590156,3
590167,3
590178,1
590179,10
590184,199
590210,1
590215,11
590216,1
590259,36
590263,10
590270,11
590286,3
590290,23
590294,14
590295,1
590303,587
590307,7
590312,1
590317,54
590328,40
590334,2
590339,8
590368,89
590392,99
590393,77
590406,1
590422,7
590433,1
590442,1
590444,6
590445,12
590456,29
590468,6
590473,7
590475,1
590482,3
590485,42
590487,20
590499,3059
590523,386
590537,11
590554,3
590564,328
590567,1
590597,1
590598,11
590600,3
590606,1
590650,1
590655,1
590672,106
590681,1
590692,9
590699,6
590700,1
590703,2
590711,3247
590725,3
590727,60
590746,6
590747,1
590767,1
590788,375
590799,1
590800,32
590804,4
590807,1348
590842,1
590845,2
590848,1
590849,2
590855,1
590862,1
590863,10
590872,14
590883,1
590896,1
590910,1
590911,1
