,Indegree
6534,1
6547,1
6576,43
6580,12
6586,3
6589,6
6594,8
6595,2
6596,1
6608,19
6640,1316
6681,2
6697,1
6707,1
6727,72
6731,1
6743,25
6745,1
6750,6
6765,74
6780,1
6792,44
6802,1
6826,1
6832,21
6833,1
6845,127
6857,1
6858,1
6861,696
6868,268
6869,1
6872,2
6882,23
6886,1
6899,1
6909,3
6917,3
6935,5
6961,1
6971,9
6987,1
7003,4
7010,2
7019,8
7022,1
7031,15
7042,2
7046,5
7072,87
7094,13
7097,2
7099,2
7105,1
7127,22557
7156,303
7157,3
7166,1
7185,1
7189,12
7198,6
7207,1
7209,119
7212,26
7214,28
7215,1
7224,16
7229,3
7239,14
7248,2
7251,2
7252,37
7255,69
7260,4
7264,12
7267,1
7306,2
7310,24
7330,11
7332,16
7336,2
7347,2
7350,98
7351,2
7356,28
7383,1
7396,1191
7402,3
7405,9
7420,1
7427,46
7430,176
7448,2
7503,1
7533,1
7549,1
7563,5
7567,8
7579,85
7591,1
7598,9
7606,1
7616,3400
7621,1
7628,1
7635,1
7654,1
7656,37
7668,41
7679,20
7702,1
7711,44
7713,1
7716,6
7717,7
7723,6
7730,1
7753,1
7758,10
7765,23
7785,2
7786,1
7789,3
7808,1296
7810,343
7819,7
7825,2
7841,2
7846,5
7851,3
7863,4
7883,77
7897,1
7907,2
7912,1
7925,3
7928,1
7932,35
7939,3
7955,4
7962,1028
7979,10
7985,53
8008,3
8033,1
8036,8
8038,6
8063,103
8065,2
8067,1
8084,4
8098,1
8115,20
8126,3
8132,2
8137,4
8148,41
8152,1
8178,1
8190,60
8196,2
8200,1
8203,1
8209,2
8225,4
8230,1
8231,1
8238,2
8252,1
8254,1
8256,40
8270,1
8275,1
8282,490
8286,1
8292,1425
8315,1
8329,3
8337,1
8344,15
8346,1
8349,1
8359,7
8376,1
8380,1
8385,1
8405,1
8418,1
8424,3
8430,43
8444,1
8447,2
8478,1
8491,1
8497,5
8502,1
8504,2
8524,5
8539,1
8554,14
8559,11
8562,11
8571,6
8573,1
8577,2
8580,1
8581,3
8594,2
8612,6
8643,1
8660,2
8673,8
8678,7
8702,3
8706,2
8711,1198
8714,2
8717,2
8720,35
8733,1
8752,1
8764,1
8772,1
8776,4
8778,18
8779,126
8789,61
8794,2
8797,2
8798,91
8807,1
8829,2
8830,86
8832,1
8833,3
8846,1
8853,7900
8854,8
8862,5
8864,1
8871,12
8879,6
8896,959
8908,2
8909,1
8913,2
8914,75
8917,1628
8922,1
8923,392
8926,37
8938,33
8963,2
8966,24
8977,1
8982,5
8984,1
8988,86
9027,10
9029,2
9043,2
9052,1617
9065,1
9082,14
9096,1
9098,55
9122,81
9125,5
9128,1
9148,1
9158,126
9225,45
9241,36
9243,1
9248,1
9252,19
9259,1
9263,5
9273,1
9278,1
9288,16
9299,35
9301,99
9308,3
9311,14
9320,26
9327,3
9331,1
9350,15
9351,417
9366,6
9386,35
9393,419
9396,8
9398,1
9399,3
9406,11
9414,334
9422,1
9424,2
9425,7
9426,10027
9429,5
9433,9
9441,1
9456,3
9461,5
9468,1
9477,703
9479,24
9481,6
9483,20
9490,1
9499,4
9523,16
9540,3
9545,1
9546,3
9547,6
9556,1
9561,98
9563,2395
9579,17
9590,3
9593,22
9632,1
9661,1
9665,12
9669,3
9687,10
9689,1
9697,4
9699,2
9704,386
9707,1
9733,1
9744,1601
9754,1
9760,3
9766,2
9806,28
9810,1
9830,31
9835,2
9836,1
9845,1
9849,6
9855,3
9866,4
9869,7
9887,2
9888,2
9903,1
9913,13
9939,12
9957,7
9964,7
9975,1
9981,1
9982,5
9988,1208
9990,3
10001,1
10006,2
10034,9
10035,43
10054,34
10063,30
10075,16
10081,1
10084,1
10085,139
10093,1
10095,18
10103,11
10112,7
10122,1
10131,2
10132,15
10158,285
10163,205
10167,1
10173,100
10191,10
10199,32
10201,1
10204,3
10211,6
10219,5
10234,2
10235,5
10239,94
10256,1
10261,1
10267,7
10285,999
10286,1
10287,3
10301,744
10309,1
10313,1
10318,5
10352,2
10359,1
10370,3
10425,2
10437,648
10454,3007
10461,2
10468,94
10471,7
10478,2
10499,18
10505,3
10517,1
10521,2
10558,1
10560,1
10582,1
10595,1
10600,1
10606,17
10616,3
10647,1
10651,29
10654,1
10660,154
10681,1
10682,43
10702,1
10710,9
10724,6
10728,18
10741,7
10751,12360
10772,1
10779,7
10806,3
10809,1
10815,3
10819,1
10827,6786
10842,1
10844,65
10866,2
10873,3
10875,5
10883,1
10886,5
10888,1
10901,11
10905,2
10914,4
10915,1904
10924,1
10931,3
10936,95
10940,1
10941,9
10947,15
10970,10
10979,3
11001,27
11008,4
11011,21
11021,210
11027,1
11029,95
11034,1692
11048,63
11050,19
11054,4
11057,1
11074,1
11113,1
11125,1
11133,11
11138,1
11140,4
11153,4
11155,1
11165,1
11168,1
11175,4
11183,1
11193,4
11208,3
11215,46
11223,11
11224,5
11225,1
11267,1010
11280,1259
11282,4
11304,1
11309,7
11311,241
11325,4
11339,42
11344,2
11347,1
11368,4
11373,1
11394,2
11395,1
11396,3
11422,3
11438,8
11442,1
11447,8
11449,2
11452,2
11462,1
11469,2
11476,2
11483,5
11484,1021
11492,1
11496,1
11500,1029
11502,200
11504,55
11519,9
11521,4
11554,879
11558,128
11568,5507
11588,1
11593,8
11601,1
11607,1
11608,1
11627,2
11654,37
11673,1
11682,50
11684,336
11691,23
11695,85
11707,1
11715,1
11722,1
11727,1
11773,1
11781,20
11783,736
11787,2
11797,1
11819,1
11835,2
11861,2
11895,2
11900,1
11902,328
11905,3
11910,387
11913,162
11914,3
11918,19
11923,303
11929,86
11944,4
11956,82
11961,1
11965,6
11973,10
11986,1
11996,72
12008,5
12011,1
12029,2452
12045,1
12057,34
12060,1
12069,124
12080,1
12090,1
12091,8
12099,22
12102,9
12113,1
12121,4
12129,1
12136,3
12141,9
12146,8
12161,1
12165,1
12166,16
12169,1
12179,3
12191,17
12195,1
12196,5
12208,3
12224,132
12225,2
12226,1
12252,3
12254,1
12287,1
12297,11
12299,142
12301,2
12303,1
12306,1
12311,1
12324,1
12328,1
12350,6
12351,5
12354,9
12355,1
12363,46
12381,511
12386,2
12388,17
12395,1
12401,5
12409,5
12415,3
12420,657
12424,24
12439,2
12452,2
12455,1
12465,18
12466,32
12474,1
12475,1
12489,65
12502,16
12507,7
12512,5
12516,288
12563,4
12567,1
12573,8
12576,1
12577,9
12591,7
12600,1
12613,1
12644,2
12646,1
12648,55
12653,2
12662,7
12684,1
12689,4
12695,1
12698,70
12699,1
12717,82
12726,1
12727,1
12805,1
12820,9
12831,16
12832,12
12838,1
12848,3
12854,2
12861,1
12871,11
12876,1
12882,15
12892,10
12893,2
12901,1
12906,13
12937,3
12939,1
12940,1
12944,16
12948,1
12969,5
12973,1722
12981,7
12990,7
12994,21
12996,52
12998,3
13000,1
13002,5
13003,1
13006,1
13008,14
13029,8
13038,71
13054,2
13059,2
13095,2
13113,1
13141,10
13143,1
13159,1
13165,48
13169,1
13194,27
13205,1
13211,12
13213,45
13215,60
13221,6
13228,2
13231,1
13235,27
13249,5
13267,1
13272,5
13280,44
13282,3
13284,5
13286,1
13306,1
13308,3
13315,19
13316,2
13334,1
13353,2
13380,28
13388,3
13393,22
13405,172
13407,15
13412,36
13415,6
13420,16
13424,2
13427,2
13432,4
13435,9
13445,5
13453,1
13463,1
13465,3
13466,1
13467,3
13478,4
13482,5
13515,18
13522,63
13535,1
13554,17
13568,5
13572,2
13578,8
13580,1
13588,7
13590,11
13593,233
13595,1
13596,296
13597,6
13600,1
13604,1
13607,22
13609,9
13613,7
13614,3
13616,242
13619,1
13629,1
13645,312
13656,4
13660,2
13692,1
13712,1
13716,54
13718,1
13719,1
13738,20
13745,21
13748,2
13763,3
13765,7
13766,2
13783,1
13785,6
13793,19
13809,3
13814,1
13819,2
13837,4
13841,269
13866,2
13870,2
13874,1
13903,152
13905,9
13908,1
13912,18
13921,18
13923,584
13925,1790
13932,1
13934,2
13939,8
13942,3
13949,1
13978,3
13992,29
13995,1
14011,60
14024,24
14026,4899
14035,1
14042,4
14051,348
14054,2
14058,1
14074,18
14090,166
14098,1
14100,16
14105,2
14116,25
14133,2
14137,6
14145,233
14162,11
14172,1
14174,1
14208,4
14239,2
14241,10
14243,207
14244,2
14246,1
14282,1
14285,1
14288,2
14293,36
14299,1
14305,2
14324,1
14327,1
14342,3
14350,1
14357,1
14360,6
14363,33
14367,1
14369,4
14370,53
14377,6
14381,3
14384,18
14415,1
14432,1
14435,263
14441,1
14444,229
14453,24
14454,1
14462,1
14471,89
14479,4103
14493,7
14516,11
14528,13
14534,1
14539,1
14550,2
14554,2
14582,1
14583,6
14590,215
14591,1
14601,2
14607,1
14609,18
14622,935
14632,1
14642,45
14661,1
14664,7
14665,577
14668,1
14674,5
14689,1
14691,3
14696,27
14716,3
14722,1
14729,3
14732,1
14773,12
14778,1
14781,13
14783,137
14788,6
14807,1
14823,17
14825,7
14831,102
14845,7
14855,6
14878,33
14880,1
14881,5
14884,3
14904,1
14907,1
14921,2
14932,1
14937,5
14938,338
14962,6
14977,34
14990,23
14993,3
14997,45
15001,13
15002,232
15029,58
15045,11
15101,103
15103,4
15113,1
15117,27
15126,5
15138,4
15140,1
15150,53
15154,76
15178,2
15180,6
15185,17
15194,913
15196,1
15203,11
15220,4615
15225,1
15230,40
15231,4
15233,2
15235,5
15240,1
15261,1
15267,3
15276,14
15279,1
15280,12
15283,77
15287,2
15292,28
15306,1
15314,28
15317,1
15319,8
15323,89
15333,11
15337,1262
15373,15
15388,5
15397,3
15398,1
15406,1
15426,10
15432,9
15459,1
15470,1514
15476,2
15478,1
15484,3
15488,1
15508,1
15540,10
15542,2
15545,4
15557,1
15573,1
15581,6
15582,1
15596,1
15601,6
15603,10
15607,1
15617,23
15651,1
15655,70
15669,3
15680,1
15690,1
15691,4
15703,1
15706,53
15715,18
15725,242
15729,29
15733,5
15758,31
15763,12
15769,341
15781,10
15788,1
15789,25
15793,1
15800,3
15812,264
15818,1
15819,111
15824,2542
15836,1
15838,1
15847,31
15855,3
15879,1
15892,1
15895,3
15923,6
15941,1
15951,15
15952,1
15957,1
15962,222
15963,1
15974,2
15981,23
15988,1
16016,32
16033,1127
16038,1
16042,7
16055,1
16065,1
16079,1
16081,175
16094,1
16135,13
16145,2
16151,8
16177,3
16202,3
16210,2
16218,1
16219,45
16225,1
16230,600
16252,1
16254,1
16271,1
16284,1
16293,3
16305,1
16320,1
16324,3
16329,425
16349,1
16360,269
16367,1
16386,11
16398,1500
16413,2
16426,1
16427,8
16430,2
16433,30
16438,2
16441,4
16446,16
16457,17
16471,2
16506,23
16519,19
16543,4
16571,1
16585,6
16623,78
16625,6
16626,44
16629,166
16633,1
16642,1
16644,8
16645,71
16648,23
16670,8
16701,2
16707,1
16710,1
16712,4
16720,2
16726,2
16744,2
16745,1
16749,1
16755,9
16767,1
16771,580
16772,4
16773,61
16789,342
16790,1
16814,3
16816,2
16825,39
16850,1
16860,3
16869,2
16872,1
16888,1
16915,3
16921,1
16924,3267
16931,15
16941,1
16969,1
16972,1239
16987,3128
